id,name,category,收盤價,漲跌幅,月增率%,年增率%,累計年增率%,投信持股比例,投信買賣超%,投信買賣超(張),投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資持股比例,外資買賣超(張),外資買賣超%,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,主力5買%,主力10買%,主力20買%,投信5賣N天,投信10賣N天,投信20賣N天,20漲跌幅,60漲跌幅
1220,台榮,食品工業,12.4,-1.59,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95,-13.0,-0.01,-0.04,-0.09,-0.14,1.0,3.0,,0.0,0.05,-5.0,-0.0,-0.03,-0.1,-0.21,0.0,0.0,0.0,-7.12,-7.12
1225,福懋油,食品工業,30.25,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,10.0,0.0,-0.09,-0.07,-0.14,2.0,6.0,,0.0,0.62,,,,,,0.0,0.0,0.0,-2.58,-5.91
1227,佳格,食品工業,30.2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,33.0,0.0,-0.0,-0.07,-0.2,2.0,4.0,,0.0,0.24,-81.0,-0.01,-0.04,-0.1,-0.18,0.0,0.0,0.0,-5.33,-11.05
1229,聯華,食品工業,46.55,-0.64,,,,0.05,-0.0,-26.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,10.81,32.0,0.0,-0.1,-0.13,0.03,3.0,5.0,,0.0,0.22,-165.0,-0.01,-0.12,-0.16,-0.1,2.0,2.0,3.0,-6.43,-7.64
1231,聯華食,食品工業,93.2,-0.75,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,-44.0,-0.02,0.02,0.08,0.03,1.0,2.0,,0.0,0.07,-67.0,-0.03,-0.24,-0.38,-0.53,0.0,0.0,0.0,-17.52,-32.71
1232,大統益,食品工業,143.0,0.0,,,,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,-6.0,-0.0,-0.04,-0.06,-0.11,0.0,1.0,,-0.0,0.21,-2.0,-0.0,-0.04,-0.08,-0.14,0.0,0.0,0.0,-2.39,-4.35
1233,天仁,食品工業,30.75,0.16,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53,1.0,0.0,0.0,0.0,0.0,2.0,2.0,,-0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.13,-1.28
1234,黑松,食品工業,37.15,-0.13,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,12.0,0.0,0.0,0.01,-0.02,2.0,5.0,,0.0,0.11,-2.0,-0.0,-0.01,-0.02,-0.06,0.0,0.0,0.0,-1.33,-5.95
1235,興泰,食品工業,48.15,1.37,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-4.0,-0.0,-0.0,-0.0,-0.03,2.0,3.0,,0.0,0.03,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,-12.77,-28.77
1236,宏亞,食品工業,24.2,1.47,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,4.0,0.0,0.01,-0.0,-0.0,2.0,4.0,,-0.0,0.45,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,-8.68,-11.84
