id,name,category,月增率%,年增率%,累計年增率%,5日漲跌幅,收盤價,漲跌幅,A轉跌幅,成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日A轉跌幅,前日成交量,昨日成交量,ma5距離,ma10距離,ma20距離,ma60距離
3594,磐儀,電腦及週邊設備業,,,,6.2,37.15,-0.67,-1.46,313.99,3.38,1.5,0.4,0.8999999999999986,0.8,37.7,-0.93,263.5,216.28,0.35,0.52,-0.01,-1.46
3597,映興,電子零組件業,,,,18.07,27.8,2.39,-3.3,533.52,1.64,-0.2,9.92,0.0,0.92,27.4,0.0,27.17,392.94,2.05,2.26,2.22,1.3
3609,三一東林,電子零組件業,,,,11.35,38.5,-6.21,-6.55,560.76,0.81,4.69,5.12,1.6999999999999957,0.37,41.2,-4.31,228.68,725.46,-0.08,-0.36,-1.59,-5.07
3611,鼎翰,電腦及週邊設備業,,,,-0.75,199.0,0.25,-0.25,40.24,0.5,0.0,-1.73,9.0,0.25,199.0,-1.73,9.37,135.15,-1.5,-1.55,-3.4,-4.44
3615,安可,光電業,,,,5.77,26.05,0.19,-2.07,621.12,2.58,1.55,-0.76,1.7999999999999972,0.0,26.0,-2.99,790.22,787.44,0.21,0.04,0.62,2.33
3623,富晶通,光電業,,,,-3.45,29.55,-2.8,-4.06,436.01,-3.61,2.11,-3.18,3.349999999999998,1.32,30.8,-7.88,600.13,708.78,-1.25,-0.66,2.93,6.93
3624,光頡,電子零組件業,,,,6.01,66.7,2.3,-3.05,14187.81,1.69,-2.58,1.4,2.299999999999997,2.76,67.0,-1.21,12240.28,8060.77,1.28,3.85,7.59,15.4
3625,西勝,電腦及週邊設備業,,,,4.31,20.0,-0.25,-2.68,691.7,3.81,-1.22,-0.74,1.3499999999999979,0.0,20.05,-1.72,449.51,512.61,-0.08,-0.02,-0.34,-2.07
3628,盈正,其他電子業,,,,2.76,72.7,-1.89,-2.28,351.63,-2.07,0.85,3.64,1.0,-1.48,73.0,-1.72,279.94,776.11,0.38,2.25,3.25,-5.34
3629,地心引力,文化創意業,,,,-4.0,21.0,-3.23,-2.78,24.28,-2.0,0.0,-1.59,,-0.46,21.6,-1.59,3.1,13.57,-0.86,-1.36,-2.09,-2.62
3630,新鉅科,光電業,,,,1.75,31.2,0.32,-2.19,1238.24,0.16,-1.11,0.16,1.8000000000000043,0.0,31.1,-1.58,1200.92,1167.39,-0.02,0.19,1.71,2.13
3631,晟楠,電子零組件業,,,,15.14,26.05,6.11,-3.52,348.91,5.97,-1.21,0.0,0.0,0.61,24.7,-1.01,160.08,72.01,1.36,2.16,2.12,2.02
3632,研勤,通信網路業,,,,5.91,9.54,2.47,-3.15,24.96,0.32,0.0,-0.21,,5.8,9.85,0.0,16.37,25.39,0.18,0.2,0.1,0.02
3642,駿熠電,其他電子業,,,,,,,,,,,,,,,,,,,,,
3646,艾恩特,電子零組件業,,,,2.56,25.55,0.2,-1.73,45.37,-0.59,0.6,0.59,0.10000000000000142,1.96,26.0,-0.39,16.04,41.35,0.16,0.73,0.89,-0.83
3652,精聯,電腦及週邊設備業,,,,2.47,29.0,0.0,0.0,93.68,2.12,-0.17,0.52,,-1.55,28.55,0.0,23.22,72.01,0.19,0.25,0.27,0.03
3663,鑫科,其他電子業,,,,16.58,65.5,-1.8,-3.96,4103.59,6.32,9.97,-2.49,5.299999999999997,-0.75,66.2,-9.25,13331.52,16662.84,1.24,5.93,9.18,17.0
3664,安瑞-KY,通信網路業,,,,-0.93,15.85,-0.94,-0.94,106.4,0.31,0.0,-1.23,2.8000000000000007,-1.56,15.75,-2.74,30.32,85.03,-0.23,-0.72,-1.06,-1.08
