date,id,name,category,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,昨日A轉跌幅,成交量,前日成交量,昨日成交量,ma5距離,ma10距離,ma20距離,ma60距離
2024-04-02,3050,鈺德,光電業,2.4,0.21,-2.97,2.25,0.44,22.95,23.2,1.53,-2.32,-3.79,2708.11,4556.51,2997.38,-0.01,0.66,0.88,3.88
2024-04-02,3313,斐成,其他,9.76,-0.49,-2.98,8.2,1.28,19.8,19.7,0.77,-3.67,-3.46,621.59,2566.79,1079.23,0.08,0.86,-0.48,3.52
2024-04-02,6126,信音,電子零組件業,0.42,3.88,1.6,3.25,0.79,38.35,36.85,-3.15,-4.29,-2.69,4933.34,15454.3,12376.82,-0.01,0.81,0.96,2.85
2024-04-02,5529,鉅陞,建材營造,0.21,-1.04,-0.21,3.4499999999999997,-0.42,23.75,23.7,-0.63,-2.27,-2.25,838.54,181.77,163.0,-0.24,-0.64,-0.6,2.52
2024-04-02,3027,盛達,通信網路業,-1.72,-2.3,-2.47,2.5,0.81,43.8,44.9,3.34,-2.39,-3.87,3906.22,2166.98,1935.76,-0.08,0.41,0.87,2.47
2024-04-02,3062,建漢,通信網路業,2.58,-5.04,-1.02,1.8000000000000007,0.41,24.35,24.0,-1.03,-3.03,-2.81,6428.7,17781.26,7359.95,-0.74,0.29,1.34,2.37
2024-04-02,3605,宏致,電子零組件業,2.55,7.05,-1.55,4.149999999999999,0.79,38.4,37.6,-1.31,-2.21,-2.06,588.48,5437.1,1691.37,0.44,1.12,-0.02,1.82
2024-04-02,4976,佳凌,光電業,-1.95,-1.99,0.36,2.4000000000000057,0.6,42.25,41.45,-1.31,-2.01,-2.1,561.71,1023.95,606.84,-0.86,-0.39,1.21,1.41
2024-04-02,6550,北極星藥業-KY,生技醫療業,3.0,-0.83,3.78,3.799999999999997,0.0,74.2,71.2,-4.04,-4.04,-4.87,5332.68,3658.86,10268.25,-0.6,1.87,4.51,0.89
2024-04-02,5452,佶優,其他電子業,-1.72,-2.53,1.0,4.949999999999999,0.2,25.3,24.95,-1.19,-2.92,-2.32,1042.07,1412.61,2123.31,-0.44,-0.71,-1.3,0.21
2024-04-02,3322,建舜電,電子零組件業,-2.25,0.21,-0.63,4.0,1.26,24.1,23.55,-1.05,-2.28,-2.26,1671.01,1295.88,1094.84,-0.38,-1.46,-1.6,0.04
2024-04-02,8011,台通,通信網路業,0.42,0.42,0.0,11.449999999999996,0.42,23.85,23.4,-1.47,-2.9,-2.06,4734.0,4647.48,2614.81,-0.22,-0.86,-3.3,-1.17
2024-04-02,4420,光明,紡織纖維,-29.84,-3.83,-1.89,27.450000000000003,0.11,46.85,45.2,-3.42,-3.73,-3.51,627.68,772.21,553.39,-6.8,-15.82,-17.88,-9.42
2024-04-02,6541,泰福-KY,生技醫療業,-0.93,1.25,1.13,9.299999999999995,1.42,49.95,49.8,1.12,-2.73,-3.24,647.56,128.6,348.78,0.92,0.64,-2.38,-9.67
2024-04-02,6695,芯鼎,半導體業,0.0,3.07,5.81,10.300000000000011,-1.04,66.7,67.5,0.15,-3.02,-2.03,6812.44,5984.92,7934.4,3.06,2.92,0.51,-10.27
2024-04-02,8227,巨有科技,半導體業,-7.04,2.4,0.54,89.5,1.26,282.0,274.0,-1.62,-3.01,-2.62,1238.97,2600.24,1183.13,-4.2,-7.85,-13.25,-46.1
2024-04-02,2345,智邦,通信網路業,1.21,0.98,-0.54,58.0,1.19,466.0,456.0,-0.98,-3.18,-2.02,2645.14,1467.63,2128.14,-2.2,-4.9,-12.73,-46.63
2024-04-02,4966,譜瑞-KY,半導體業,-1.71,1.52,-2.14,183.0,0.66,920.0,902.0,-1.31,-2.17,-3.48,1495.15,909.76,1285.07,-19.2,-41.6,-87.2,-183.65
2024-04-02,9958,世紀鋼,鋼鐵工業,-0.23,-1.13,-0.69,39.5,0.69,218.5,212.5,-2.07,-2.97,-3.98,2946.44,3212.72,4572.47,-5.6,-7.95,-15.28,
