id,name,price,drop,3day,5day
9910,豐泰,152.0,-25.12315270935961,-3.520000000000004,-4.1199999999999966
1721,三晃,14.85,-25.128205128205128,-0.2999999999999845,-0.2799999999999944
4142,國光生,27.4,-25.27322404371585,-2.8600000000000048,-2.669999999999999
2337,旺宏,26.85,-25.31645569620252,-1.2699999999999938,-3.079999999999996
1456,怡華,18.85,-25.45090180360721,-8.100000000000012,-7.860000000000004
2355,敬鵬,43.2,-25.51724137931034,-2.169999999999992,-1.0100000000000064
2468,華經,27.0,-25.555555555555557,-0.7200000000000002,-0.1600000000000044
2745,五福,118.5,-25.5663430420712,-2.6000000000000094,-7.199999999999998
1338,廣華-KY,33.85,-25.60706401766003,-0.7299999999999996,-1.0200000000000091
5701,劍湖山,5.97,-25.625,-4.190000000000012,-1.2299999999999955
3232,昱捷,27.9,-25.767690253671567,-0.8799999999999999,-0.6999999999999764
3167,大量,54.6,-25.90027700831025,-2.430000000000005,-1.8700000000000017
3529,力旺,2290.0,-25.97402597402597,-1.5800000000000165,-3.819999999999987
3438,類比科,76.3,-25.98039215686275,-1.0000000000000164,-0.3499999999999725
6237,驊訊,57.6,-26.03471295060081,-0.8600000000000003,-0.5200000000000031
6625,必應,94.4,-26.14173228346457,-1.4500000000000066,-1.9700000000000055
3707,漢磊,62.0,-26.1501210653753,-2.969999999999984,-4.809999999999995
1762,中化生,46.95,-26.22047244094488,-1.6699999999999977,-1.1199999999999883
1568,倉佑,29.95,-26.22333751568382,-5.330000000000005,-4.8499999999999845
6494,九齊,70.7,-26.387434554973822,-0.8300000000000112,-0.8199999999999981
2516,新建,11.2,-26.421404682274247,-4.740000000000016,-2.540000000000015
4162,智擎,91.7,-26.44897959183674,-2.5699999999999887,-5.480000000000017
5703,亞都麗緻,22.2,-26.54424040066778,-1.5399999999999916,-6.450000000000004
1732,毛寶,28.4,-26.709677419354843,-2.4099999999999944,-2.409999999999996
6598,ABC-KY,20.7,-26.773049645390078,-0.6999999999999893,-0.9299999999999902
8409,商之器,21.4,-26.88356164383561,-0.4700000000000015,-1.3900000000000046
4138,曜亞,103.5,-26.95035460992908,-0.9499999999999902,-2.3600000000000043
6411,晶焱,98.1,-27.116104868913855,-1.4100000000000086,-1.609999999999998
4552,力達-KY,29.2,-27.125000000000004,-1.189999999999999,-0.8499999999999996
1515,力山,45.15,-27.205882352941185,-1.3699999999999997,-0.9300000000000008
9110,越南控-DR,6.32,-27.35632183908045,-2.0099999999999927,-1.540000000000009
1609,大亞,50.5,-27.42647058823529,-3.930000000000006,-5.620000000000012
1733,五鼎,32.3,-27.44656917885265,-3.73,-6.499999999999995
6657,華安,52.4,-27.60055478502079,-4.789999999999999,-4.610000000000007
3218,大學光,256.5,-27.659574468085108,-0.3799999999999831,-4.329999999999998
6469,大樹,277.0,-27.69028871391076,-1.08,-0.1799999999999947
2723,美食-KY,90.4,-27.710843373493976,-0.5499999999999965,-1.2099999999999973
5531,鄉林,10.75,-27.79661016949153,-3.5699999999999914,-10.37
5272,笙科,32.5,-27.972819932049823,-1.7800000000000007,-0.5600000000000032
4804,大略-KY,3.78,-28.000000000000004,-2.5900000000000007,-4.619999999999997
6264,富裔,13.35,-28.108108108108105,-10.769999999999992,-7.970000000000006
5213,亞昕,39.25,-28.176795580110493,-4.899999999999989,-6.220000000000003
3576,聯合再生,11.95,-28.26747720364741,-2.049999999999984,-2.4600000000000017
5519,隆大,40.5,-28.315412186379923,-2.4999999999999973,-4.519999999999984
6804,明係,48.5,-28.338278931750757,-0.4100000000000022,-0.299999999999999
2739,寒舍,60.5,-28.571428571428577,-5.000000000000005,-7.309999999999997
2527,宏璟,46.4,-28.63924050632912,-0.8699999999999961,-2.339999999999993
2227,裕日車,137.0,-28.64583333333333,-2.1500000000000044,-5.62
6589,台康生技,79.5,-28.64864864864865,-1.6199999999999932,-3.69
2208,台船,18.05,-28.769841269841272,-1.0899999999999967,-3.239999999999997
2368,金像電,203.5,-28.87323943661972,-0.9600000000000072,-1.4299999999999866
1432,大魯閣,17.95,-29.0,-0.8200000000000038,-0.2600000000000035
1783,和康生,41.95,-29.25801011804384,-3.2499999999999947,-4.279999999999997
5344,立衛,19.6,-29.45454545454546,-1.2499999999999991,-0.4900000000000086
3713,新晶投控,20.95,-29.757785467128024,-3.259999999999997,-3.489999999999997
3701,大眾控,56.1,-29.82456140350877,-2.249999999999999,-0.790000000000019
2546,根基,94.0,-30.0377358490566,-2.5200000000000014,-3.029999999999999
3373,熱映,23.65,-30.22222222222222,-2.290000000000012,-2.699999999999997
8044,網家,34.8,-30.32128514056224,-3.750000000000012,-1.7600000000000031
5301,寶得利,11.1,-30.322580645161285,-2.0099999999999976,-10.070000000000013
2385,群光,186.0,-30.337078651685395,-4.169999999999983,-2.8400000000000007
1589,永冠-KY,45.65,-30.491551459293387,-0.2899999999999921,-2.6299999999999986
1304,台聚,15.7,-30.493273542600903,-2.8099999999999965,-4.3300000000000045
3313,斐成,20.05,-30.54101221640489,-7.699999999999999,-9.220000000000002
9103,美德醫療-DR,6.96,-30.599999999999994,-0.5600000000000094,-1.1299999999999906
1449,佳和,17.75,-30.6483300589391,-3.560000000000004,-4.899999999999986
1308,亞聚,18.4,-30.725190839694665,-1.6000000000000003,-3.180000000000008
2929,淘帝-KY,9.34,-30.746268656716424,-2.299999999999999,-3.230000000000006
1618,合機,49.3,-30.802292263610315,-2.4499999999999984,-4.36
6861,睿生光電,72.9,-31.22641509433961,-1.340000000000002,-2.0100000000000007
